"","CPG","WEIGHT","P","gene","TRAIT"
"6031","cg04561804",0.006,3.23e-05,"LOC100128164;SEC62","mSmoking"
"6032","cg25946646",0.004,3.23e-05,"BMPR1A","mSmoking"
"6039","cg27461259",0.009,3.24e-05,"PPARGC1A","mSmoking"
"6043","cg25293325",-0.009,3.25e-05,"NXN","mSmoking"
"6049","cg10735015",0.012,3.26e-05,"PHACTR2","mSmoking"
"6050","cg04951104",-0.004,3.26e-05,"MEOX1","mSmoking"
"6055","cg19800670",0.006,3.27e-05,"-","mSmoking"
"6056","cg01499518",0.012,3.27e-05,"SRRM3","mSmoking"
"6057","cg15866367",0.005,3.27e-05,"MLNR","mSmoking"
"6058","cg03551508",-0.006,3.28e-05,"-","mSmoking"
"6059","cg12508700",0.007,3.28e-05,"-","mSmoking"
"6063","cg08311646",0.012,3.29e-05,"-","mSmoking"
"6067","cg21171704",-0.006,3.3e-05,"BICD2","mSmoking"
"6068","cg27483455",0.004,3.3e-05,"ACCN2","mSmoking"
"6069","cg01282906",0.007,3.3e-05,"-","mSmoking"
"6078","cg00598912",-0.003,3.32e-05,"DLGAP2","mSmoking"
"6079","cg13483727",0.008,3.32e-05,"CLUL1","mSmoking"
"6082","cg18474153",-0.005,3.33e-05,"EEF2","mSmoking"
"6083","cg21063296",-0.004,3.33e-05,"DNMT1","mSmoking"
"6086","cg09317502",0.01,3.34e-05,"HEPACAM2","mSmoking"
"6088","cg18946473",0.002,3.35e-05,"-","mSmoking"
"6089","cg18478100",0.006,3.35e-05,"-","mSmoking"
"6094","cg11953775",0.006,3.36e-05,"-","mSmoking"
"6095","cg17462962",0.007,3.36e-05,"MRPL22","mSmoking"
"6099","cg10690919",0.011,3.37e-05,"WFIKKN2","mSmoking"
"6103","cg22781525",0.001,3.39e-05,"ICT1","mSmoking"
"6104","cg12426652",-0.005,3.39e-05,"CLDN14","mSmoking"
"6108","cg14414792",0.004,3.4e-05,"ATOH7","mSmoking"
"6112","cg26271591",-0.01,3.41e-05,"NFE2L2","mSmoking"
"6113","cg02264288",0.002,3.41e-05,"-","mSmoking"
"6114","cg07760796",-0.004,3.41e-05,"MKRN3","mSmoking"
"6116","cg08832695",-0.005,3.42e-05,"LOC404266;HOXB6","mSmoking"
"6122","cg04799329",-0.003,3.43e-05,"RASA3","mSmoking"
"6131","cg26338757",0.006,3.44e-05,"LDB3","mSmoking"
"6132","cg07435282",-0.004,3.44e-05,"MRPL23","mSmoking"
"6133","cg23785882",0.001,3.44e-05,"ZNF397","mSmoking"
"6138","cg12091498",0.009,3.45e-05,"-","mSmoking"
"6144","cg07173823",0.006,3.46e-05,"C1orf228","mSmoking"
"6145","cg05672223",0.007,3.46e-05,"-","mSmoking"
"6147","cg24024660",0.008,3.47e-05,"-","mSmoking"
"6153","cg21681377",-0.006,3.48e-05,"DNAJC11","mSmoking"
"6154","cg24252695",-0.003,3.48e-05,"-","mSmoking"
"6157","cg17976873",0.013,3.49e-05,"REM2","mSmoking"
"6163","cg15406387",0.007,3.5e-05,"ENPEP","mSmoking"
"6169","cg13282594",-0.005,3.51e-05,"BGLAP","mSmoking"
"6177","cg15146125",-0.003,3.53e-05,"ITPRIPL1","mSmoking"
"6178","cg21565496",-0.004,3.53e-05,"-","mSmoking"
"6182","cg24115061",0.006,3.54e-05,"-","mSmoking"
"6189","cg07074571",0.005,3.56e-05,"AGPAT4","mSmoking"
"6193","cg04682135",0.007,3.57e-05,"C3orf55","mSmoking"
"6194","cg15628222",0.005,3.57e-05,"TRAM1","mSmoking"
"6195","cg27119318",-0.02,3.57e-05,"WRB","mSmoking"
"6209","cg17372806",0.006,3.62e-05,"RTN3","mSmoking"
"6217","cg08916461",0.008,3.63e-05,"-","mSmoking"
"6224","cg14270302",0.006,3.66e-05,"-","mSmoking"
"6225","cg26186546",-0.005,3.66e-05,"TACC2","mSmoking"
"6228","cg25635916",-0.004,3.67e-05,"SEMA3B","mSmoking"
"6235","cg23271099",0.006,3.68e-05,"CUL9","mSmoking"
"6236","cg00364956",0.015,3.68e-05,"SLFN13","mSmoking"
"6239","cg25773386",0.004,3.69e-05,"GPR62","mSmoking"
"6242","cg18140268",0.013,3.7e-05,"-","mSmoking"
"6248","cg18405341",-0.005,3.72e-05,"ATF4","mSmoking"
"6255","cg24757159",0.008,3.74e-05,"MIR548G","mSmoking"
"6258","cg06988349",0.003,3.75e-05,"ATOH7","mSmoking"
"6269","cg22720790",0.012,3.77e-05,"ZNF274","mSmoking"
"6271","cg14508093",-0.01,3.78e-05,"-","mSmoking"
"6274","cg01687864",-0.002,3.79e-05,"ING3","mSmoking"
"6275","cg16419584",0.013,3.79e-05,"-","mSmoking"
"6279","cg00065302",0.003,3.8e-05,"RNF160","mSmoking"
"6286","cg11212451",0.003,3.82e-05,"-","mSmoking"
"6292","cg19559587",-0.004,3.84e-05,"LRP1;MIR1228","mSmoking"
"6295","cg09007290",0.004,3.85e-05,"-","mSmoking"
"6296","cg24523948",0.005,3.85e-05,"-","mSmoking"
"6302","cg01299997",-0.006,3.86e-05,"FIS1","mSmoking"
"6303","cg19496364",-0.009,3.86e-05,"-","mSmoking"
"6309","cg21542881",-0.007,3.89e-05,"-","mSmoking"
"6312","cg02660277",-0.006,3.9e-05,"PTPRN2","mSmoking"
"6315","cg15233611",-0.005,3.91e-05,"SETD1B","mSmoking"
"6322","cg18449062",0.005,3.93e-05,"CNNM2","mSmoking"
"6323","cg05849772",-0.008,3.93e-05,"ITFG3","mSmoking"
"6326","cg07520269",0.011,3.94e-05,"DLG2","mSmoking"
"6327","cg05615487",-0.003,3.94e-05,"ACR","mSmoking"
"6331","cg24495681",0.003,3.95e-05,"COL14A1","mSmoking"
"6334","cg12217625",0.01,3.96e-05,"VSIG8;C1orf204","mSmoking"
"6335","cg21831485",-0.004,3.96e-05,"CCDC129","mSmoking"
"6336","cg20796999",-0.004,3.96e-05,"SEPT9","mSmoking"
"6342","cg22629375",-0.015,3.97e-05,"OSCAR","mSmoking"
"6346","cg03131724",0.004,3.98e-05,"-","mSmoking"
"6347","cg12477880",0.008,3.98e-05,"RUNX1","mSmoking"
"6348","cg25976804",0.004,3.98e-05,"AIFM3;LZTR1","mSmoking"
"6356","cg05349624",-0.01,3.99e-05,"COL18A1","mSmoking"
"6362","cg16151538",0.005,4.01e-05,"TRPC4AP","mSmoking"
"6369","cg03267220",0.004,4.02e-05,"FAM184B","mSmoking"
"6370","cg12474798",-0.008,4.02e-05,"ADO","mSmoking"
"6371","cg00431114",0.005,4.02e-05,"TTPAL","mSmoking"
"6376","cg00285294",-0.003,4.03e-05,"C7orf50","mSmoking"
"6377","cg05373875",0.007,4.03e-05,"-","mSmoking"
"6384","cg08912801",-0.005,4.05e-05,"-","mSmoking"
"6385","cg24401487",-0.007,4.05e-05,"GALNT2","mSmoking"
"6386","cg16391327",0.012,4.05e-05,"FAM98B","mSmoking"
"6391","cg09373298",-0.003,4.06e-05,"CHCHD6","mSmoking"
"6392","cg22202121",-0.004,4.06e-05,"ZNF292","mSmoking"
"6393","cg20547777",-0.008,4.06e-05,"EXT1","mSmoking"
"6394","cg26651782",-0.013,4.06e-05,"KLK9;KLK8","mSmoking"
"6408","cg09430664",-0.005,4.09e-05,"RPS6KA2","mSmoking"
"6409","cg09738881",-0.003,4.09e-05,"SFRP5","mSmoking"
"6410","cg01921126",0.008,4.09e-05,"IGF2;INS-IGF2","mSmoking"
"6413","cg16508883",0.005,4.1e-05,"-","mSmoking"
"6414","cg09831562",0.008,4.1e-05,"SOX2OT","mSmoking"
"6415","ch.4.89078329R",-0.001,4.1e-05,"-","mSmoking"
"6416","cg07279557",-0.009,4.1e-05,"COL18A1","mSmoking"
"6421","cg00969446",0.006,4.12e-05,"ADAP1","mSmoking"
"6422","cg12757143",0.008,4.12e-05,"WDR85","mSmoking"
"6427","cg01293485",0.007,4.13e-05,"HIGD1A","mSmoking"
"6428","cg26700949",0.002,4.13e-05,"PSMB9;TAP1","mSmoking"
"6429","cg04794268",-0.007,4.13e-05,"KIFC2;CYHR1","mSmoking"
"6439","cg00870279",-0.003,4.16e-05,"PFDN6;WDR46","mSmoking"
"6440","cg01573635",-0.005,4.16e-05,"TEKT5","mSmoking"
"6443","cg20324199",-0.007,4.17e-05,"WNK2","mSmoking"
"6451","cg07126783",0.008,4.19e-05,"RPTOR","mSmoking"
"6456","cg12833872",-0.007,4.2e-05,"SLC9A3","mSmoking"
"6457","cg08560952",0.004,4.2e-05,"-","mSmoking"
"6458","cg02610064",-0.004,4.21e-05,"-","mSmoking"
"6461","cg12242450",0.016,4.22e-05,"GCNT2","mSmoking"
"6465","cg00954039",-0.002,4.23e-05,"PADI1","mSmoking"
"6466","cg17836177",-0.005,4.23e-05,"PEBP4","mSmoking"
"6467","cg10791696",0.007,4.23e-05,"-","mSmoking"
"6471","cg21036162",0.006,4.25e-05,"-","mSmoking"
"6474","cg19065106",0.007,4.26e-05,"SP7","mSmoking"
"6475","cg17845200",0.002,4.26e-05,"PROZ","mSmoking"
"6476","cg02273477",-0.006,4.26e-05,"NXN","mSmoking"
"6479","cg01112035",0.007,4.27e-05,"-","mSmoking"
"6480","cg26131286",-0.004,4.27e-05,"-","mSmoking"
"6481","cg04661001",0.006,4.27e-05,"SLC25A42","mSmoking"
"6485","cg07507418",-0.004,4.28e-05,"TRERF1","mSmoking"
"6489","cg26614563",0.005,4.29e-05,"-","mSmoking"
"6495","cg26611328",-0.006,4.3e-05,"-","mSmoking"
"6498","cg12990614",0.006,4.31e-05,"SOX10","mSmoking"
"6517","cg24513684",-0.003,4.35e-05,"SNAP47;JMJD4","mSmoking"
"6518","cg04839131",0.008,4.35e-05,"KCNH2","mSmoking"
"6527","cg10901805",0.005,4.39e-05,"DLG2","mSmoking"
"6528","cg03030879",0.002,4.39e-05,"RPS6KL1","mSmoking"
"6535","cg09488203",0.005,4.41e-05,"GPR120","mSmoking"
"6536","cg02879960",-0.006,4.41e-05,"TTLL8","mSmoking"
"6541","cg21807925",-0.004,4.42e-05,"C17orf95;JMJD6","mSmoking"
"6549","cg13543915",-0.004,4.43e-05,"-","mSmoking"
"6553","cg06357908",-0.004,4.44e-05,"RGS1","mSmoking"
"6555","cg12587615",-0.01,4.45e-05,"LPPR2","mSmoking"
"6558","cg04811945",0.004,4.46e-05,"CD38","mSmoking"
"6562","cg20329047",-0.007,4.47e-05,"BOP1;HSF1","mSmoking"
"6563","cg14921271",0.006,4.47e-05,"-","mSmoking"
"6566","cg08247921",0.004,4.48e-05,"MANBA","mSmoking"
"6569","cg21289191",-0.002,4.49e-05,"C7orf65","mSmoking"
"6570","cg01413054",0.011,4.5e-05,"CAB39","mSmoking"
"6571","cg22591480",0.005,4.5e-05,"SLC16A12","mSmoking"
"6572","cg20591728",0.004,4.5e-05,"LOC404266;HOXB6","mSmoking"
"6574","cg11945297",0.008,4.51e-05,"GRHL2","mSmoking"
"6575","cg11215918",-0.001,4.51e-05,"-","mSmoking"
"6580","cg24330456",0.007,4.52e-05,"RNF39","mSmoking"
"6583","cg16399751",0.006,4.53e-05,"-","mSmoking"
"6586","cg03228449",-0.01,4.54e-05,"FN1","mSmoking"
"6590","cg23289456",-0.005,4.55e-05,"C20orf54","mSmoking"
"6597","cg22558685",0.012,4.57e-05,"-","mSmoking"
"6598","cg23891996",-0.003,4.57e-05,"-","mSmoking"
"6601","cg17815049",-0.01,4.58e-05,"CNST;TFB2M","mSmoking"
"6602","cg12444411",-0.012,4.58e-05,"GNA12","mSmoking"
"6603","cg20533899",-0.002,4.58e-05,"LRRC32","mSmoking"
"6608","cg07729916",-0.004,4.61e-05,"MUC6","mSmoking"
"6615","cg14041855",-0.013,4.63e-05,"-","mSmoking"
"6616","cg01297627",0.008,4.63e-05,"FAM71E2","mSmoking"
"6618","cg25799241",-0.009,4.64e-05,"-","mSmoking"
"6619","cg00755980",0.005,4.64e-05,"C10orf107","mSmoking"
"6625","cg07987148",0.007,4.65e-05,"TP53RK","mSmoking"
"6633","cg08367801",-0.002,4.68e-05,"RGMB","mSmoking"
"6634","cg18953829",0.009,4.69e-05,"-","mSmoking"
"6636","cg21209395",0.008,4.7e-05,"LOC158381","mSmoking"
"6637","cg19016972",0.003,4.7e-05,"SLC2A14","mSmoking"
"6641","cg20897136",-0.004,4.72e-05,"DDIT4","mSmoking"
"6643","cg22725685",0.003,4.73e-05,"-","mSmoking"
"6644","cg26438105",0.011,4.73e-05,"TMEM200C","mSmoking"
"6649","cg18609044",-0.008,4.74e-05,"ELOVL7","mSmoking"
"6650","cg13028630",-0.006,4.74e-05,"C4B;C4A","mSmoking"
"6652","cg05352688",0.004,4.75e-05,"-","mSmoking"
"6661","cg08243524",-0.004,4.77e-05,"DENND1C","mSmoking"
"6662","cg03173827",-0.005,4.77e-05,"TCEA2","mSmoking"
"6667","cg03743262",-0.003,4.79e-05,"-","mSmoking"
"6676","cg01971181",0.01,4.83e-05,"MFSD1","mSmoking"
"6677","cg19350216",-0.009,4.83e-05,"PTPRN2","mSmoking"
"6678","cg11858450",0.01,4.83e-05,"CCDC105","mSmoking"
"6681","cg01108445",0.005,4.84e-05,"C16orf59","mSmoking"
"6685","cg13976502",-0.005,4.85e-05,"C14orf43","mSmoking"
"6688","cg12463703",-0.003,4.86e-05,"-","mSmoking"
"6693","cg12356266",0.008,4.88e-05,"-","mSmoking"
"6694","cg13587915",-0.008,4.88e-05,"ABLIM1","mSmoking"
"6695","cg13407335",0.004,4.88e-05,"KCNAB3","mSmoking"
"6703","cg27179866",0.01,4.9e-05,"-","mSmoking"
"6704","cg10527525",-0.003,4.9e-05,"AUTS2","mSmoking"
"6707","cg00519208",0.005,4.91e-05,"EVI5","mSmoking"
"6708","cg15626405",-0.006,4.91e-05,"-","mSmoking"
"6709","cg10982460",-0.004,4.91e-05,"RASA3","mSmoking"
"6712","cg00770784",0.009,4.92e-05,"CFDP1","mSmoking"
"6717","cg07060864",-0.005,4.93e-05,"-","mSmoking"
"6720","cg11255208",-0.004,4.94e-05,"ATXN7L3","mSmoking"
"6721","cg19761502",-0.01,4.94e-05,"WRB","mSmoking"
"6723","cg01947751",0.007,4.95e-05,"-","mSmoking"
"6729","cg11797717",0.009,4.97e-05,"PLCD3","mSmoking"
"6731","cg19004565",-0.004,4.98e-05,"ATF6B","mSmoking"
"6732","cg10853086",0.004,4.98e-05,"RNF208","mSmoking"
"6733","cg20102019",-0.006,4.98e-05,"-","mSmoking"
"6742","cg24559796",0.006,5e-05,"-","mSmoking"
"6743","cg25284397",0.007,5e-05,"CDK6","mSmoking"
"6744","cg01108112",-0.005,5e-05,"-","mSmoking"
"6745","cg14568259",-0.001,5e-05,"NR6A1","mSmoking"
"6746","cg19020855",0.004,5e-05,"-","mSmoking"
"6747","cg26930078",0.005,5e-05,"C17orf53","mSmoking"
"6750","cg17861836",-0.006,5.01e-05,"C17orf56","mSmoking"
"6754","cg10016364",-0.007,5.02e-05,"-","mSmoking"
"6755","cg27111250",-0.019,5.03e-05,"PRDM8","mSmoking"
"6759","cg01766941",0.009,5.04e-05,"GFI1","mSmoking"
"6760","cg25657834",-0.003,5.04e-05,"NTSR2","mSmoking"
"6761","cg20359445",-0.005,5.04e-05,"IKZF4","mSmoking"
"6762","cg26235659",0.004,5.04e-05,"NR2E3","mSmoking"
"6765","cg16682046",-0.001,5.05e-05,"PRCP;C11orf82","mSmoking"
"6766","cg26135528",-0.001,5.06e-05,"PRR3;GNL1","mSmoking"
"6767","cg16636110",0.007,5.06e-05,"ZNF264","mSmoking"
"6772","cg20442128",0.013,5.07e-05,"-","mSmoking"
"6777","cg14400541",-0.008,5.09e-05,"-","mSmoking"
"6778","cg08285446",-0.008,5.09e-05,"-","mSmoking"
"6782","cg24136318",-0.005,5.1e-05,"SEPT9","mSmoking"
"6784","cg18259535",-0.004,5.11e-05,"-","mSmoking"
"6786","cg02704502",-0.008,5.12e-05,"-","mSmoking"
"6787","cg26676129",-0.008,5.12e-05,"-","mSmoking"
"6790","cg25906638",0.01,5.13e-05,"-","mSmoking"
"6794","cg13989528",-0.003,5.14e-05,"FAU;MRPL49","mSmoking"
"6799","cg19684207",-0.015,5.15e-05,"WRB","mSmoking"
"6803","cg12197752",0.011,5.17e-05,"-","mSmoking"
"6804","cg08498747",-0.01,5.17e-05,"-","mSmoking"
"6813","cg06826457",-0.007,5.2e-05,"-","mSmoking"
"6818","cg18581929",-0.004,5.21e-05,"-","mSmoking"
"6819","cg08620751",-0.004,5.21e-05,"-","mSmoking"
"6823","cg16786808",0.016,5.22e-05,"EPHA4","mSmoking"
"6824","cg00835825",0.003,5.23e-05,"-","mSmoking"
"6826","cg25162533",-0.009,5.24e-05,"-","mSmoking"
"6827","cg26460530",-0.006,5.24e-05,"-","mSmoking"
"6829","cg26329992",0.002,5.25e-05,"EXOC1","mSmoking"
"6830","cg05822532",-0.012,5.25e-05,"ELN","mSmoking"
"6838","cg02010738",-0.009,5.27e-05,"C19orf36;MOBKL2A","mSmoking"
"6841","cg16489360",-0.007,5.28e-05,"TMEM209","mSmoking"
"6847","cg09761846",0.005,5.3e-05,"P2RX3","mSmoking"
"6853","cg22698218",0.006,5.32e-05,"CNOT4","mSmoking"
"6856","cg25312636",-0.007,5.33e-05,"COL11A2","mSmoking"
"6858","cg16119505",0.008,5.34e-05,"PTBP2","mSmoking"
"6859","cg14802355",0.005,5.34e-05,"MANBA","mSmoking"
"6863","cg06142740",-0.005,5.35e-05,"PPP1CB","mSmoking"
"6864","cg16442298",-0.004,5.35e-05,"-","mSmoking"
"6873","cg03879180",0.007,5.37e-05,"-","mSmoking"
"6874","cg19070894",0.004,5.37e-05,"-","mSmoking"
"6875","cg20544437",0.005,5.37e-05,"SLC44A4","mSmoking"
"6876","cg04844534",-0.004,5.37e-05,"-","mSmoking"
"6881","cg15898874",-0.002,5.38e-05,"-","mSmoking"
"6884","cg01928418",-0.003,5.39e-05,"-","mSmoking"
"6886","cg07677157",0.012,5.4e-05,"-","mSmoking"
"6890","cg26438325",0.005,5.41e-05,"JAZF1","mSmoking"
"6891","cg15627089",-0.001,5.41e-05,"-","mSmoking"
"6893","cg21711214",-0.007,5.42e-05,"HPS4","mSmoking"
"6903","cg26425711",-0.005,5.45e-05,"PRDM16","mSmoking"
"6904","cg03431524",-0.005,5.45e-05,"AGFG2","mSmoking"
"6907","cg21828716",-0.004,5.46e-05,"MYH6;MIR208A","mSmoking"
"6909","cg20307074",-0.006,5.48e-05,"LOC100133669","mSmoking"
"6914","cg23261715",0.005,5.49e-05,"-","mSmoking"
"6915","cg18500300",0.006,5.5e-05,"NACAD","mSmoking"
"6916","cg08543952",-0.004,5.5e-05,"ARL16;HGS","mSmoking"
"6920","cg26706163",0.012,5.52e-05,"MZF1;LOC100131691","mSmoking"
"6926","cg08161546",0.009,5.53e-05,"ESR1","mSmoking"
"6927","cg27509052",-0.008,5.53e-05,"-","mSmoking"
"6929","cg09021712",-0.003,5.54e-05,"TTLL10","mSmoking"
"6930","cg23522915",-0.004,5.54e-05,"HDAC7","mSmoking"
"6931","cg13294032",-0.002,5.54e-05,"KIF1C","mSmoking"
"6934","cg11557553",0.003,5.56e-05,"AHRR;LOC100310782","mSmoking"
"6937","cg05930207",0.007,5.57e-05,"GJD3","mSmoking"
"6939","cg24435348",-0.005,5.58e-05,"-","mSmoking"
"6954","cg16426215",-0.006,5.62e-05,"-","mSmoking"
"6955","cg23375169",-0.004,5.62e-05,"-","mSmoking"
"6961","cg13380502",0.006,5.64e-05,"GPR3","mSmoking"
"6962","cg24953596",-0.007,5.64e-05,"MEGF6","mSmoking"
"6963","cg12154261",0.007,5.64e-05,"TDRD9","mSmoking"
"6966","cg14565440",-0.002,5.65e-05,"AGTRAP","mSmoking"
"6967","cg05565052",0.006,5.65e-05,"TMEM184B","mSmoking"
"6970","cg04888360",0.006,5.66e-05,"CRTAC1","mSmoking"
"6973","cg25859045",-0.001,5.67e-05,"SAC3D1","mSmoking"
"6974","cg21869609",-0.006,5.67e-05,"LINGO3","mSmoking"
"6981","cg01069808",-0.008,5.68e-05,"ZNF238","mSmoking"
"6982","cg11143953",0.01,5.68e-05,"FIP1L1","mSmoking"
"6983","cg01729837",0.006,5.68e-05,"PALM","mSmoking"
"6989","cg26270116",-0.004,5.69e-05,"TNN","mSmoking"
"6990","cg09482093",0.005,5.69e-05,"RNF112","mSmoking"
"6994","cg20415053",0.012,5.71e-05,"CATSPER4","mSmoking"
"6998","cg24124954",-0.007,5.72e-05,"BAT1","mSmoking"
"7001","cg08224569",-0.007,5.73e-05,"GPR20","mSmoking"
"7003","cg05711036",-0.007,5.74e-05,"FBXL18","mSmoking"
"7004","cg14149699",-0.001,5.74e-05,"WDR11","mSmoking"
"7006","cg26084700",-0.004,5.75e-05,"-","mSmoking"
"7007","cg11925381",0.002,5.75e-05,"RAC1","mSmoking"
"7011","cg03059073",0.006,5.76e-05,"-","mSmoking"
"7014","cg24569257",0.008,5.77e-05,"-","mSmoking"
"7018","cg15720112",-0.014,5.79e-05,"-","mSmoking"
"7021","cg09538401",-0.003,5.8e-05,"C11orf93;C11orf92","mSmoking"
"7024","cg05169951",0.008,5.81e-05,"KREMEN2;PAQR4","mSmoking"
"7028","cg22774211",0.006,5.82e-05,"ADAM30","mSmoking"
"7034","cg01075005",0.004,5.84e-05,"-","mSmoking"
"7035","cg26396492",0.006,5.84e-05,"RIN2","mSmoking"
"7042","cg19824710",0.008,5.86e-05,"PTPRF","mSmoking"
"7048","cg07972954",-0.004,5.88e-05,"TUBB","mSmoking"
"7052","cg22169053",0.005,5.89e-05,"SPOCD1","mSmoking"
"7053","cg12673559",-0.003,5.89e-05,"INPP5A","mSmoking"
"7054","cg07769588",-0.005,5.89e-05,"ATG4D","mSmoking"
"7061","cg10296062",-0.005,5.9e-05,"PYGM","mSmoking"
"7062","cg11694510",-0.004,5.9e-05,"IFITM1","mSmoking"
"7068","cg03449398",0.004,5.92e-05,"-","mSmoking"
"7069","cg17516837",0.006,5.92e-05,"-","mSmoking"
"7076","cg15383087",0.006,5.93e-05,"ZFP82","mSmoking"
"7078","cg26587870",0.005,5.94e-05,"-","mSmoking"
"7086","cg05894719",-0.005,5.97e-05,"-","mSmoking"
"7090","cg17345480",-0.001,5.98e-05,"SPPL3","mSmoking"
"7091","cg16556397",-0.005,5.98e-05,"TRIM72;PYDC1","mSmoking"
"7092","cg06474661",0.003,5.98e-05,"-","mSmoking"
"7093","cg14903689",-0.005,5.98e-05,"COL18A1","mSmoking"
"7097","cg15210999",0.006,5.99e-05,"DTNBP1","mSmoking"
"7101","cg21529477",-0.005,6.02e-05,"LSP1","mSmoking"
"7107","cg20449670",0.006,6.04e-05,"-","mSmoking"
"7108","cg01765653",-0.008,6.04e-05,"GABBR1","mSmoking"
"7109","cg15971157",0.006,6.04e-05,"PCOTH;MIPEP","mSmoking"
"7110","cg06152926",-0.003,6.05e-05,"PTK7","mSmoking"
"7111","cg19695041",-0.007,6.05e-05,"TACC1","mSmoking"
"7116","cg17493885",0.01,6.06e-05,"NSD1","mSmoking"
"7121","cg23230486",0.004,6.07e-05,"GPR3","mSmoking"
"7122","cg22744818",-0.006,6.07e-05,"ATF4","mSmoking"
"7135","cg23160522",0.005,6.1e-05,"CYP1A1","mSmoking"
"7139","cg02036387",-0.001,6.11e-05,"-","mSmoking"
"7140","cg10181414",-0.008,6.11e-05,"GNG7","mSmoking"
"7141","cg11088471",0.011,6.11e-05,"SIM2","mSmoking"
"7144","cg06979110",0.003,6.12e-05,"ACCN2","mSmoking"
"7150","cg11020068",-0.001,6.13e-05,"ZFP62","mSmoking"
"7153","cg21776010",0.009,6.14e-05,"MRPS33","mSmoking"
"7154","cg13921251",0.007,6.14e-05,"-","mSmoking"
"7155","cg14181355",0.008,6.14e-05,"MAST1","mSmoking"
"7157","cg04107003",-0.005,6.15e-05,"ATAD3C","mSmoking"
"7161","cg09642347",0.007,6.17e-05,"C7orf63","mSmoking"
"7162","cg11579116",-0.006,6.17e-05,"EMR4P","mSmoking"
"7163","cg22012281",-0.006,6.18e-05,"-","mSmoking"
"7165","cg08003628",0.006,6.2e-05,"ZFPM2","mSmoking"
"7167","cg24605046",-0.005,6.22e-05,"B3GALT4","mSmoking"
"7172","cg21157690",-0.008,6.23e-05,"ESR1","mSmoking"
"7176","cg04569583",0.006,6.26e-05,"C2CD4A","mSmoking"
"7182","cg10529613",-0.008,6.28e-05,"STXBP6","mSmoking"
"7183","cg24727122",-0.001,6.28e-05,"OSM","mSmoking"
"7185","cg09499421",-0.005,6.3e-05,"STX1B","mSmoking"
"7187","cg09917805",0.008,6.32e-05,"-","mSmoking"
"7192","cg16290996",-0.005,6.33e-05,"GAS5;SNORD78;SNORD76;SNORD77;SNORD44;SNORD79","mSmoking"
"7193","cg04038163",-0.007,6.33e-05,"CXCL9","mSmoking"
"7194","cg22937354",0.014,6.33e-05,"OR5D16","mSmoking"
"7198","cg27073361",-0.005,6.35e-05,"TNXB","mSmoking"
"7200","cg27264462",0.011,6.36e-05,"PRKCZ","mSmoking"
"7202","cg09340403",0.007,6.37e-05,"-","mSmoking"
"7216","cg14154784",0.014,6.44e-05,"TLE1","mSmoking"
"7217","cg20092736",0.007,6.44e-05,"-","mSmoking"
"7218","cg17397438",0.002,6.44e-05,"MKKS","mSmoking"
"7224","cg17419597",-0.003,6.48e-05,"BGLAP","mSmoking"
"7235","cg15817542",-0.005,6.51e-05,"ITGAM","mSmoking"
"7236","cg12364755",-0.005,6.51e-05,"PAFAH1B1","mSmoking"
"7241","cg22805485",-0.009,6.53e-05,"SPON1","mSmoking"
"7242","cg19721065",0.008,6.53e-05,"RASAL1","mSmoking"
"7245","cg19895047",0.006,6.54e-05,"CSGALNACT1","mSmoking"
"7247","cg00994804",0.009,6.55e-05,"RUNX1","mSmoking"
"7251","cg00002837",0.008,6.56e-05,"-","mSmoking"
"7252","cg03454375",-0.001,6.56e-05,"LPCAT4","mSmoking"
"7260","cg23371016",-0.003,6.59e-05,"-","mSmoking"
"7261","cg07264048",0.013,6.59e-05,"GCNT2","mSmoking"
"7262","cg07928065",-0.004,6.61e-05,"DHRS7C","mSmoking"
"7275","cg00810939",-0.005,6.72e-05,"IL22RA1","mSmoking"
"7280","cg21429725",0.005,6.75e-05,"PIGZ","mSmoking"
"7282","cg11832534",0.003,6.76e-05,"WDR8","mSmoking"
"7284","cg15677087",-0.01,6.77e-05,"SLC17A9","mSmoking"
"7294","cg08824344",-0.005,6.81e-05,"-","mSmoking"
"7295","cg14483391",0.007,6.81e-05,"HTR3D","mSmoking"
"7296","cg01792666",-0.003,6.81e-05,"SRCAP","mSmoking"
"7303","cg27516302",0.005,6.84e-05,"OPRK1","mSmoking"
"7311","cg27470978",0.004,6.87e-05,"TACC1","mSmoking"
"7314","cg04731926",-0.01,6.88e-05,"LSR","mSmoking"
"7317","cg18715709",0.002,6.89e-05,"LIPH","mSmoking"
"7320","cg20889395",0.008,6.9e-05,"WFIKKN2","mSmoking"
"7323","cg27073431",0.007,6.91e-05,"CALM2","mSmoking"
"7328","cg23771366",0.004,6.92e-05,"PRSS23","mSmoking"
"7336","cg16368147",-0.005,6.96e-05,"-","mSmoking"
"7337","cg07586008",0.016,6.96e-05,"PPFIA3","mSmoking"
"7338","cg10491242",0.003,6.96e-05,"PNKP","mSmoking"
"7339","cg24074477",0.006,6.96e-05,"CECR2","mSmoking"
"7347","cg02888048",0.01,6.97e-05,"-","mSmoking"
"7348","cg16303562",0.009,6.97e-05,"MSR1","mSmoking"
"7349","cg22632947",-0.006,6.97e-05,"PRKCA","mSmoking"
"7353","cg23251141",0.01,6.99e-05,"SLC9A3","mSmoking"
"7355","cg03178042",0.004,7.01e-05,"-","mSmoking"
